currentTimeStep, cubeJulia.position.x, cubeJulia.position.y, alphaJulia, degree, horizonForceJulia, verticalForceJulia, -frictionForceJulia.x + horizonForceJulia, -frictionForceJulia.y + verticalForceJulia, -frictionForceJulia.z + zAxisForceJulia
69.42149,-21.52212,0.7533063,0.001829836,0.1048419,0.03591095,19.62521,0.01241999,19.62525,-2.960792E-09
69.43148,-21.52149,0.7533051,0.001724874,0.09882798,0.03385105,19.62522,0.01035337,19.62526,-2.96169E-09
69.44147,-21.52086,0.7533041,0.001619912,0.09281411,0.03179116,19.62523,0.008288676,19.62526,-2.962467E-09
69.45147,-21.52023,0.7533032,0.00151495,0.08680023,0.02973126,19.62523,0.006225908,19.62527,-2.963123E-09
69.46146,-21.5196,0.7533023,0.001409988,0.08078635,0.02767137,19.62524,0.004165076,19.62527,-2.963658E-09
69.47146,-21.51897,0.7533014,0.001305026,0.07477248,0.02561147,19.62524,0.002106162,19.62528,-2.96407E-09
69.48145,-21.51834,0.7533007,0.001200064,0.0687586,0.02355156,19.62525,4.916824E-05,19.62528,-2.964361E-09
69.49145,-21.51771,0.7533,0.001095102,0.06274473,0.02149166,19.62525,-0.002005899,19.62528,-2.964531E-09
69.50144,-21.51708,0.7532993,0.0009901401,0.05673085,0.01943176,19.62525,-0.004059052,19.62528,-2.964579E-09
69.51144,-21.51645,0.7532987,0.0008851783,0.05071698,0.01737186,19.62526,-0.006110288,19.62528,-2.964507E-09
69.52143,-21.51582,0.7532982,0.0007802164,0.04470311,0.01531195,19.62526,-0.008159611,19.62528,-2.964314E-09
69.53143,-21.51519,0.7532977,0.0006755726,0.03870746,0.01325829,19.62526,-0.01020079,19.62527,-2.963999E-09
69.54142,-21.51457,0.7532973,0.0005709289,0.03271182,0.01120463,19.62526,-0.01224006,19.62527,-2.963566E-09
69.55141,-21.51394,0.753297,0.000466285,0.02671617,0.009150963,19.62526,-0.01427744,19.62527,-2.963011E-09
69.56141,-21.51331,0.7532968,0.0003616413,0.02072052,0.007097302,19.62525,-0.01631292,19.62526,-2.962336E-09
69.5714,-21.51268,0.7532966,0.0002569975,0.01472487,0.00504364,19.62525,-0.0183465,19.62526,-2.96154E-09
69.5814,-21.51206,0.7532965,0.0001523537,0.008729224,0.002989979,19.62525,-0.02038176,19.62525,-2.959495E-09
69.59139,-21.51143,0.7532964,4.770993E-05,0.002733578,0.0009363188,19.62524,-0.02241158,19.62524,-2.958461E-09
69.60139,-21.5108,0.7532964,-5.693385E-05,-0.003262069,-0.00111734,19.62524,-0.02443952,19.62524,-2.957307E-09
69.61138,-21.51018,0.7532965,-0.0001612596,-0.009239492,-0.003164755,19.62523,-0.02645051,19.62523,-2.958844E-09
69.62138,-21.50955,0.7532966,-0.0002655853,-0.01521692,-0.00521217,19.62522,-0.02847143,19.62522,-2.956514E-09
69.63137,-21.50892,0.7532968,-0.000369911,-0.02119434,-0.007259582,19.62521,-0.03048985,19.6252,-2.954315E-09
69.64137,-21.5083,0.7532971,-0.0004742367,-0.02717176,-0.009306992,19.6252,-0.03250702,19.62519,-2.951764E-09
69.65136,-21.50768,0.7532974,-0.0005782443,-0.03313096,-0.01134816,19.62519,-0.03451383,19.62518,-2.94982E-09
69.66135,-21.50705,0.7532979,-0.000682252,-0.03909016,-0.01338932,19.62518,-0.03651816,19.62517,-2.947967E-09
69.67135,-21.50643,0.7532983,-0.0007862597,-0.04504936,-0.01543048,19.62517,-0.03852067,19.62515,-2.945996E-09
69.68134,-21.5058,0.7532989,-0.0008902674,-0.05100856,-0.01747164,19.62516,-0.04052135,19.62514,-2.943908E-09
69.69134,-21.50518,0.7532995,-0.000993957,-0.05694954,-0.01950656,19.62514,-0.04250518,19.62512,-2.944514E-09
69.70133,-21.50456,0.7533001,-0.001097647,-0.06289052,-0.02154147,19.62513,-0.04449894,19.6251,-2.94125E-09
